Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
flutter_screen_lock,794,372,303,1470
lpinyin,730,373,317,422
flutter_soloud,743,374,356,553
android_play_install_referrer,742,375,355,549
whatsapp_unilink,714,376,306,376
more,834,377,356,1451
cli_completion,701,378,354,399
adaptive_action_sheet,854,379,368,1581
flutter_advanced_switch,710,380,337,386
sign_in_button,711,381,350,404
flutter_localized_locales,724,382,359,443
pinch_zoom,709,383,301,386
delayed_display,729,384,335,396
network_image_mock,756,385,366,653
navigation_history_observer,732,386,379,581
realtime_client,729,387,349,486
basics,804,388,334,982
redux_thunk,731,389,346,602
powersync,774,390,390,852
injector,768,391,372,840
replay_bloc,818,392,351,1455
cached_query,931,393,361,2392
push,871,394,382,1705
flutter_json_view,746,395,340,579
fast_cached_network_image,843,396,366,1570
motion_toast,795,397,319,1564
plaid_flutter,878,398,357,1785
screen_retriever,780,399,386,873
stomp_dart_client,708,400,362,413
flutter_map_animations,813,401,383,1599
flutter_tilt,837,402,402,1817
rinf,865,403,336,1613
flutter_smart_dialog,951,404,201,2397
firebase_ui_firestore,706,405,340,405
image_painter,734,406,353,487
zxing2,734,407,365,575
search_cep,770,408,365,885
ml_linalg,776,409,364,889
flutter_image_slideshow,715,410,321,410
http_multi_server,736,411,382,529
contained_tab_bar_view,715,412,341,412
share_handler,729,413,405,471
flutter_braintree,697,414,330,414
bonsoir,711,415,384,521
installed_apps,741,416,416,547
neat_periodic_task,747,417,358,588
phone_state,749,418,380,564
tab_container,716,419,347,419
responsive_grid_list,728,420,344,436
flutter_login_facebook,719,421,303,421
pub_api_client,848,422,394,1608
get_time_ago,811,423,412,1651
cupertino_http,815,424,406,1642
elementary,762,425,367,817
source_span,740,426,392,538
multicast_dns,705,427,275,429
sanitize_html,774,428,390,896
webview_cookie_manager,721,429,381,456
pocketbase,1001,430,420,2995
open_settings_plus,740,431,402,558
choice,749,432,400,638
tap_debouncer,710,433,375,493
git,708,434,399,451
fimber,727,435,393,569
drop_down_list,698,436,368,442
circular_menu,718,437,374,453
app_badge_plus,908,438,438,2218
devtools_extensions,963,439,436,2666
gaimon,743,440,440,707
mocktail_image_network,760,441,398,847
intl,906,442,442,2134
screen_capture_event,734,443,405,612
zoom_pinch_overlay,730,444,404,485
trust_location,783,445,387,943
flutter_esc_pos_utils,725,446,395,508
shared_preferences,701,447,1,860
flutter_libserialport,712,448,412,477
xdg_directories,732,449,396,608
url_launcher,753,450,450,862
local_hero,747,451,451,649
bouncing_widget,747,452,383,555
cherry_toast,795,453,418,1671
local_session_timeout,711,454,414,460
swipable_stack,740,455,370,542
flutter_exif_rotation,700,456,419,469
shamsi_date,715,457,374,482
sembast_web,734,458,408,586
swipeable_page_route,809,459,396,1713
extension_google_sign_in_as_googleapis_auth,707,460,397,470
web_socket_channel,775,461,461,931
local_notifier,703,462,410,486
yaml_edit,795,463,406,1645
talker_logger,829,464,422,1707
flutter_svg,777,465,6,869
